sep=,
File............:  30cycle - JAN;12.2023
System..........:  
Temperature.....:  -0.0+-0.0C
Time............:  11:20:46-12:41:18
Slewrate........:  10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
Reference.......:   0.5498549;  1.2776189 PO/PF  0; 3444
Cyclic voltammogram
Lines:   15100
Columns: 8
Number,Time/s,Potential/V,Current/A,TC:K;V=201/C,TC:K;V=201/C,NTC/C,pos_x_fi/m,pos_x_la/m
103,3.264e+01,0.318272,1.985e-06,9.037e+00,8.600e+00,3.866e+01,9.853e-02,4.140e-02
104,3.296e+01,0.321466,1.994e-06,9.040e+00,8.603e+00,3.866e+01,9.853e-02,4.140e-02
105,3.328e+01,0.324660,1.989e-06,9.038e+00,8.602e+00,3.866e+01,9.853e-02,4.140e-02
106,3.360e+01,0.327854,1.990e-06,9.040e+00,8.603e+00,3.866e+01,9.853e-02,4.140e-02
107,3.392e+01,0.331048,1.990e-06,9.040e+00,8.602e+00,3.866e+01,9.853e-02,4.140e-02
108,3.424e+01,0.334242,1.993e-06,9.038e+00,8.601e+00,3.866e+01,9.853e-02,4.140e-02
109,3.456e+01,0.337436,1.992e-06,9.039e+00,8.603e+00,3.867e+01,9.853e-02,4.140e-02
110,3.488e+01,0.340630,1.991e-06,9.040e+00,8.603e+00,3.867e+01,9.853e-02,4.140e-02
111,3.520e+01,0.343824,1.990e-06,9.040e+00,8.603e+00,3.868e+01,9.853e-02,4.140e-02
112,3.552e+01,0.347018,2.011e-06,9.037e+00,8.601e+00,3.868e+01,9.853e-02,4.140e-02
113,3.584e+01,0.350212,2.008e-06,9.041e+00,8.603e+00,3.868e+01,9.853e-02,4.140e-02
114,3.616e+01,0.353566,2.010e-06,9.039e+00,8.602e+00,3.868e+01,9.853e-02,4.140e-02
115,3.648e+01,0.356760,2.013e-06,9.039e+00,8.601e+00,3.869e+01,9.853e-02,4.140e-02
116,3.680e+01,0.359954,2.024e-06,9.040e+00,8.603e+00,3.868e+01,9.853e-02,4.140e-02
117,3.712e+01,0.363148,2.024e-06,9.039e+00,8.602e+00,3.868e+01,9.853e-02,4.140e-02
118,3.744e+01,0.366342,2.040e-06,9.039e+00,8.603e+00,3.869e+01,9.853e-02,4.140e-02
119,3.776e+01,0.369536,2.052e-06,9.039e+00,8.602e+00,3.869e+01,9.853e-02,4.140e-02
120,3.808e+01,0.372730,2.064e-06,9.040e+00,8.603e+00,3.869e+01,9.853e-02,4.140e-02
121,3.840e+01,0.375924,2.076e-06,9.040e+00,8.603e+00,3.869e+01,9.853e-02,4.140e-02
122,3.872e+01,0.379118,2.089e-06,9.040e+00,8.604e+00,3.869e+01,9.853e-02,4.140e-02
123,3.904e+01,0.382313,2.099e-06,9.042e+00,8.604e+00,3.869e+01,9.853e-02,4.140e-02
124,3.936e+01,0.385507,2.104e-06,9.039e+00,8.602e+00,3.869e+01,9.853e-02,4.140e-02
125,3.968e+01,0.388701,2.109e-06,9.044e+00,8.606e+00,3.870e+01,9.853e-02,4.140e-02
126,4.000e+01,0.391895,2.127e-06,9.043e+00,8.606e+00,3.870e+01,9.853e-02,4.140e-02
127,4.032e+01,0.395089,2.155e-06,9.041e+00,8.604e+00,3.870e+01,9.853e-02,4.140e-02
128,4.064e+01,0.398283,2.167e-06,9.042e+00,8.604e+00,3.870e+01,9.853e-02,4.140e-02
129,4.096e+01,0.401477,2.199e-06,9.042e+00,8.605e+00,3.870e+01,9.853e-02,4.140e-02
130,4.128e+01,0.404671,2.210e-06,9.043e+00,8.606e+00,3.869e+01,9.853e-02,4.140e-02
131,4.160e+01,0.407865,2.229e-06,9.043e+00,8.606e+00,3.870e+01,9.853e-02,4.140e-02
132,4.192e+01,0.411059,2.251e-06,9.039e+00,8.603e+00,3.870e+01,9.853e-02,4.140e-02
133,4.224e+01,0.414253,2.275e-06,9.041e+00,8.605e+00,3.870e+01,9.853e-02,4.140e-02
134,4.256e+01,0.417447,2.292e-06,9.043e+00,8.606e+00,3.871e+01,9.853e-02,4.140e-02
135,4.288e+01,0.420641,2.316e-06,9.043e+00,8.607e+00,3.871e+01,9.853e-02,4.140e-02
136,4.320e+01,0.423995,2.336e-06,9.044e+00,8.606e+00,3.871e+01,9.853e-02,4.140e-02
137,4.352e+01,0.427189,2.362e-06,9.043e+00,8.607e+00,3.871e+01,9.853e-02,4.140e-02
138,4.384e+01,0.430383,2.397e-06,9.043e+00,8.605e+00,3.871e+01,9.853e-02,4.140e-02
139,4.416e+01,0.433577,2.419e-06,9.044e+00,8.607e+00,3.871e+01,9.853e-02,4.140e-02
140,4.448e+01,0.436771,2.438e-06,9.045e+00,8.608e+00,3.871e+01,9.853e-02,4.140e-02
141,4.480e+01,0.439965,2.460e-06,9.045e+00,8.607e+00,3.872e+01,9.853e-02,4.140e-02
142,4.512e+01,0.443159,2.496e-06,9.045e+00,8.608e+00,3.872e+01,9.853e-02,4.140e-02
143,4.544e+01,0.446353,2.531e-06,9.044e+00,8.607e+00,3.872e+01,9.853e-02,4.140e-02
144,4.576e+01,0.449547,2.566e-06,9.045e+00,8.607e+00,3.872e+01,9.853e-02,4.140e-02
145,4.608e+01,0.452741,2.604e-06,9.042e+00,8.605e+00,3.872e+01,9.853e-02,4.140e-02
146,4.640e+01,0.455935,2.647e-06,9.042e+00,8.606e+00,3.872e+01,9.853e-02,4.140e-02
147,4.672e+01,0.459129,2.684e-06,9.042e+00,8.606e+00,3.872e+01,9.853e-02,4.140e-02
148,4.704e+01,0.462323,2.724e-06,9.043e+00,8.606e+00,3.873e+01,9.853e-02,4.140e-02
149,4.736e+01,0.465517,2.769e-06,9.042e+00,8.606e+00,3.873e+01,9.853e-02,4.140e-02
150,4.768e+01,0.468711,2.810e-06,9.043e+00,8.607e+00,3.873e+01,9.853e-02,4.140e-02
151,4.800e+01,0.471906,2.861e-06,9.045e+00,8.608e+00,3.873e+01,9.853e-02,4.140e-02
152,4.832e+01,0.475100,2.906e-06,9.043e+00,8.607e+00,3.873e+01,9.853e-02,4.140e-02
153,4.864e+01,0.478294,2.959e-06,9.044e+00,8.608e+00,3.874e+01,9.853e-02,4.140e-02
154,4.896e+01,0.481488,3.005e-06,9.045e+00,8.608e+00,3.874e+01,9.853e-02,4.140e-02
155,4.928e+01,0.484682,3.064e-06,9.047e+00,8.609e+00,3.874e+01,9.853e-02,4.140e-02
156,4.960e+01,0.487876,3.116e-06,9.045e+00,8.609e+00,3.874e+01,9.853e-02,4.140e-02
157,4.992e+01,0.491070,3.178e-06,9.046e+00,8.609e+00,3.874e+01,9.853e-02,4.140e-02
158,5.024e+01,0.494264,3.245e-06,9.045e+00,8.608e+00,3.874e+01,9.853e-02,4.140e-02
159,5.056e+01,0.497618,3.314e-06,9.044e+00,8.608e+00,3.874e+01,9.853e-02,4.140e-02
160,5.088e+01,0.500812,3.383e-06,9.047e+00,8.609e+00,3.874e+01,9.853e-02,4.140e-02
161,5.120e+01,0.504006,3.452e-06,9.046e+00,8.609e+00,3.875e+01,9.853e-02,4.140e-02
162,5.152e+01,0.507200,3.526e-06,9.048e+00,8.612e+00,3.875e+01,9.853e-02,4.140e-02
163,5.184e+01,0.510394,3.599e-06,9.047e+00,8.611e+00,3.875e+01,9.853e-02,4.140e-02
164,5.216e+01,0.513588,3.672e-06,9.046e+00,8.608e+00,3.875e+01,9.853e-02,4.140e-02
165,5.248e+01,0.516782,3.749e-06,9.048e+00,8.610e+00,3.875e+01,9.853e-02,4.140e-02
166,5.280e+01,0.519976,3.833e-06,9.044e+00,8.607e+00,3.875e+01,9.853e-02,4.140e-02
167,5.312e+01,0.523170,3.909e-06,9.046e+00,8.610e+00,3.875e+01,9.853e-02,4.140e-02
168,5.344e+01,0.526364,4.005e-06,9.047e+00,8.611e+00,3.875e+01,9.853e-02,4.140e-02
169,5.376e+01,0.529558,4.099e-06,9.046e+00,8.610e+00,3.876e+01,9.853e-02,4.140e-02
170,5.408e+01,0.532752,4.188e-06,9.049e+00,8.612e+00,3.876e+01,9.853e-02,4.140e-02
171,5.440e+01,0.535946,4.285e-06,9.045e+00,8.608e+00,3.876e+01,9.853e-02,4.140e-02
172,5.472e+01,0.539140,4.409e-06,9.046e+00,8.609e+00,3.876e+01,9.853e-02,4.140e-02
173,5.504e+01,0.542334,4.507e-06,9.047e+00,8.611e+00,3.876e+01,9.853e-02,4.140e-02
174,5.536e+01,0.545528,4.626e-06,9.048e+00,8.611e+00,3.876e+01,9.853e-02,4.140e-02
175,5.568e+01,0.548722,4.746e-06,9.046e+00,8.609e+00,3.876e+01,9.853e-02,4.140e-02
176,5.600e+01,0.551916,4.869e-06,9.047e+00,8.610e+00,3.876e+01,9.853e-02,4.140e-02
177,5.632e+01,0.555110,5.008e-06,9.047e+00,8.611e+00,3.877e+01,9.853e-02,4.140e-02
178,5.664e+01,0.558305,5.141e-06,9.048e+00,8.611e+00,3.877e+01,9.853e-02,4.140e-02
179,5.696e+01,0.561499,5.277e-06,9.051e+00,8.612e+00,3.877e+01,9.853e-02,4.140e-02
180,5.728e+01,0.564693,5.420e-06,9.049e+00,8.612e+00,3.877e+01,9.853e-02,4.140e-02
181,5.760e+01,0.567887,5.581e-06,9.049e+00,8.613e+00,3.878e+01,9.853e-02,4.140e-02
182,5.792e+01,0.571081,5.756e-06,9.047e+00,8.611e+00,3.878e+01,9.853e-02,4.140e-02
183,5.824e+01,0.574434,5.921e-06,9.048e+00,8.611e+00,3.878e+01,9.853e-02,4.140e-02
184,5.856e+01,0.577629,6.107e-06,9.050e+00,8.614e+00,3.878e+01,9.853e-02,4.140e-02
185,5.888e+01,0.580823,6.286e-06,9.049e+00,8.611e+00,3.878e+01,9.853e-02,4.140e-02
186,5.920e+01,0.584017,6.471e-06,9.050e+00,8.612e+00,3.878e+01,9.853e-02,4.140e-02
187,5.952e+01,0.587211,6.683e-06,9.053e+00,8.615e+00,3.879e+01,9.853e-02,4.140e-02
188,5.984e+01,0.590405,6.895e-06,9.050e+00,8.613e+00,3.879e+01,9.853e-02,4.140e-02
189,6.016e+01,0.593599,7.099e-06,9.047e+00,8.611e+00,3.879e+01,9.853e-02,4.140e-02
190,6.048e+01,0.596793,7.332e-06,9.051e+00,8.614e+00,3.879e+01,9.853e-02,4.140e-02
191,6.080e+01,0.599987,7.543e-06,9.051e+00,8.614e+00,3.879e+01,9.853e-02,4.140e-02
192,6.112e+01,0.603181,7.765e-06,9.050e+00,8.614e+00,3.879e+01,9.853e-02,4.140e-02
193,6.144e+01,0.606375,7.984e-06,9.050e+00,8.613e+00,3.878e+01,9.853e-02,4.140e-02
194,6.176e+01,0.609569,8.186e-06,9.049e+00,8.612e+00,3.878e+01,9.853e-02,4.140e-02
195,6.208e+01,0.612763,8.400e-06,9.047e+00,8.610e+00,3.878e+01,9.853e-02,4.140e-02
196,6.240e+01,0.615957,8.596e-06,9.049e+00,8.612e+00,3.878e+01,9.853e-02,4.140e-02
197,6.272e+01,0.619151,8.787e-06,9.051e+00,8.613e+00,3.878e+01,9.853e-02,4.140e-02
198,6.304e+01,0.622345,8.968e-06,9.050e+00,8.612e+00,3.878e+01,9.853e-02,4.140e-02
199,6.336e+01,0.625539,9.133e-06,9.050e+00,8.612e+00,3.879e+01,9.853e-02,4.140e-02
200,6.368e+01,0.628733,9.272e-06,9.052e+00,8.615e+00,3.879e+01,9.853e-02,4.140e-02
201,6.400e+01,0.631927,9.387e-06,9.048e+00,8.612e+00,3.879e+01,9.853e-02,4.140e-02
202,6.432e+01,0.635121,9.476e-06,9.051e+00,8.615e+00,3.879e+01,9.853e-02,4.140e-02
203,6.464e+01,0.638315,9.547e-06,9.048e+00,8.611e+00,3.880e+01,9.853e-02,4.140e-02
204,6.496e+01,0.641669,9.597e-06,9.049e+00,8.612e+00,3.880e+01,9.853e-02,4.140e-02
205,6.528e+01,0.644863,9.624e-06,9.051e+00,8.614e+00,3.880e+01,9.853e-02,4.140e-02
206,6.560e+01,0.648057,9.651e-06,9.052e+00,8.615e+00,3.880e+01,9.853e-02,4.140e-02
207,6.592e+01,0.651251,9.652e-06,9.051e+00,8.614e+00,3.880e+01,9.853e-02,4.140e-02
208,6.624e+01,0.654445,9.674e-06,9.051e+00,8.614e+00,3.880e+01,9.853e-02,4.140e-02
209,6.656e+01,0.657639,9.692e-06,9.052e+00,8.615e+00,3.881e+01,9.853e-02,4.140e-02
210,6.688e+01,0.660833,9.718e-06,9.053e+00,8.615e+00,3.881e+01,9.853e-02,4.140e-02
211,6.720e+01,0.664027,9.752e-06,9.050e+00,8.614e+00,3.881e+01,9.853e-02,4.140e-02
212,6.752e+01,0.667222,9.784e-06,9.051e+00,8.615e+00,3.880e+01,9.853e-02,4.140e-02
213,6.784e+01,0.670416,9.835e-06,9.051e+00,8.614e+00,3.881e+01,9.853e-02,4.140e-02
214,6.816e+01,0.673610,9.896e-06,9.051e+00,8.613e+00,3.881e+01,9.853e-02,4.140e-02
215,6.848e+01,0.676804,9.958e-06,9.054e+00,8.617e+00,3.881e+01,9.853e-02,4.140e-02
216,6.880e+01,0.679998,1.003e-05,9.050e+00,8.614e+00,3.881e+01,9.853e-02,4.140e-02
217,6.912e+01,0.683192,1.011e-05,9.053e+00,8.616e+00,3.881e+01,9.853e-02,4.140e-02
218,6.944e+01,0.686386,1.018e-05,9.050e+00,8.613e+00,3.881e+01,9.853e-02,4.140e-02
219,6.976e+01,0.689580,1.029e-05,9.051e+00,8.615e+00,3.881e+01,9.853e-02,4.140e-02
220,7.008e+01,0.692774,1.037e-05,9.055e+00,8.617e+00,3.881e+01,9.853e-02,4.140e-02
221,7.040e+01,0.695968,1.047e-05,9.050e+00,8.612e+00,3.881e+01,9.853e-02,4.140e-02
222,7.072e+01,0.699162,1.058e-05,9.053e+00,8.615e+00,3.881e+01,9.853e-02,4.140e-02
223,7.104e+01,0.702356,1.068e-05,9.051e+00,8.614e+00,3.881e+01,9.853e-02,4.140e-02
224,7.136e+01,0.705550,1.080e-05,9.055e+00,8.617e+00,3.881e+01,9.853e-02,4.140e-02
225,7.168e+01,0.708744,1.091e-05,9.052e+00,8.615e+00,3.881e+01,9.853e-02,4.140e-02
226,7.200e+01,0.711938,1.104e-05,9.051e+00,8.614e+00,3.881e+01,9.853e-02,4.140e-02
227,7.232e+01,0.715132,1.116e-05,9.051e+00,8.614e+00,3.882e+01,9.853e-02,4.140e-02
228,7.264e+01,0.718486,1.129e-05,9.053e+00,8.614e+00,3.882e+01,9.853e-02,4.140e-02
229,7.296e+01,0.721680,1.142e-05,9.054e+00,8.616e+00,3.882e+01,9.853e-02,4.140e-02
230,7.328e+01,0.724874,1.157e-05,9.053e+00,8.616e+00,3.882e+01,9.853e-02,4.140e-02
231,7.360e+01,0.728068,1.172e-05,9.053e+00,8.615e+00,3.882e+01,9.853e-02,4.140e-02
232,7.392e+01,0.731262,1.188e-05,9.054e+00,8.616e+00,3.882e+01,9.853e-02,4.140e-02
